분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A 장내발효,2960.20543,3124.76769,3361.65201,3738.34746,3967.86555,4116.14167,4425.51996,4459.93103,4292.15901,3713.91192,3376.89796,3138.11138,3102.23445,3089.77017,3210.29106,3304.99331,3465.03693,3631.40153,3818.26463,3994.96523,4262.32803,4221.63275,4389.96974,4363.17842,4492.65013,4339.45384,4318.10717,4400.16312,4470.99328,4588.64642,4743.1164,4908.10997
A 장내발효_1 소,2796.69814,2940.39566,3146.7397,3500.89242,3713.7719,3843.92036,4139.85214,4162.54183,3974.28256,3399.45421,3049.36714,2801.19471,2754.94257,2732.29455,2854.52748,2949.78865,3101.20092,3263.46435,3472.27866,3651.6489,3907.347,3938.51173,4045.85479,4002.45825,4140.40391,3979.89484,3946.02573,3997.50642,4054.4485,4163.83635,4320.66567,4487.44969
A 장내발효_2 물소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_3 양(면양),0.34846,0.3501,0.36971,0.32529,0.26051,0.17861,0.16761,0.16545,0.15186,0.13248,0.11057,0.09541,0.08502,0.08932,0.098,0.11238,0.12485,0.15085,0.21276,0.27954,0.45867,0.4593,0.45297,0.29911,0.27146,0.27916,0.24115,0.25785,0.23993,0.25883,0.24619,0.23454
A 장내발효_4 양(산양),17.76061,25.03106,37.05986,49.18123,58.17074,64.45527,68.55716,68.5818,63.60403,57.66229,52.25521,48.82091,46.68941,47.866,50.87936,53.6228,53.06787,47.6756,38.70531,31.09897,26.58653,25.94613,26.20538,26.17972,26.27723,27.21729,30.92691,35.91868,44.97048,52.794,56.77563,53.28789
A 장내발효_5 낙타 및 라마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_6 말,1.64493,1.88937,2.00453,2.02545,2.04435,2.13772,2.33806,2.59056,2.87469,3.07919,3.45026,3.96283,4.7119,5.43073,6.18685,6.97133,7.80784,8.61575,9.5474,10.2753,10.96213,11.23643,11.35991,11.22635,10.69286,9.07515,8.86523,9.11786,10.49945,10.51747,10.42738,10.38152
A 장내발효_7 노새 및 당나귀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_8 돼지,138.98447,151.50472,169.01991,178.61122,185.3421,196.11872,204.09567,214.17359,238.06823,239.37967,256.71795,268.38266,279.70626,288.18417,283.31606,280.18732,289.74149,299.81663,287.48015,292.84318,309.30689,238.7728,300.32866,318.05381,310.53688,319.0073,328.43132,354.04091,357.78852,358.3815,352.32349,354.20463
A 장내발효_9 가금류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_10 기타 가축(사슴),4.76882,5.59678,6.45831,7.31185,8.27596,9.331,10.50931,11.87781,13.17764,14.20409,14.99684,15.65487,16.0993,15.9054,15.28331,14.31084,13.09395,11.67834,10.04034,8.81934,7.66682,6.70635,5.76804,4.96118,4.46778,3.9801,3.61683,3.32139,3.0464,2.85828,2.67803,2.55171
